"display";"code";"request_result";"examination_result";"scale";"unit_measure";"method";"specimen"
Nucleated erythrocytes [#/volume] in Blood by Automated count;"771-6";Permintaan & Hasil;Quantitative;Qn;"10*3/uL";Automated count;Darah
Nucleated erythrocytes [#/volume] in Blood by Manual count;"772-4";Hasil;Quantitative;Qn;"10*3/uL";Manual count;Darah
Lead [Mass/volume] in Venous blood;"77307-7";Permintaan & Hasil;Quantitative;Qn;ug/dL;;Darah
Tacrolimus [Mass/volume] in Blood --trough;"77348-1";Permintaan & Hasil;Quantitative;Qn;ng/mL;;Darah 
Procollagen type I.N-terminal propeptide [Mass/volume] in Serum or Plasma by Immunoassay;"77370-5";Permintaan & Hasil;Quantitative;Qn;ng/mL;IA;Serum
Human papilloma virus 31+33+35+39+45+51+52+56+58+59+66+68 DNA [Presence] in Specimen by NAA with probe detection;"77375-4";Permintaan & Hasil;Ordinal;Ord;;Probe.amp.tar;Urine
Human papilloma virus 16 DNA [Presence] in Cervix by NAA with probe detection;"77399-4";Permintaan & Hasil;Ordinal;Ord;;Probe.amp.tar;Serviks
Human papilloma virus 18 DNA [Presence] in Cervix by NAA with probe detection;"77400-0";Permintaan & Hasil;Ordinal;Ord;;Probe.amp.tar;Serviks
ENG gene full mutation analysis in Blood or Tissue by Sequencing;"77625-2";Permintaan & Hasil;Quantitative;Doc;;Sequencing;Serum
Platelet mean volume [Entitic volume] in Blood by Rees-Ecker;"776-5";Hasil;Quantitative;Qn;fL;Rees-Ecker;Darah
Platelets [#/volume] in Blood by Automated count;"777-3";Permintaan & Hasil;Quantitative;Qn;"10*3/uL";Automated count;Darah
ceFAZolin [Susceptibility] by Disk diffusion (KB);"77-8";Hasil;OrdQn;OrdQn;;Agar diffusion;Isolat
Platelets [#/volume] in Blood by Manual count;"778-1";Permintaan & Hasil;Quantitative;Qn;"10*3/uL";Manual count;Darah
Cytomegalovirus pp65 Ag/100000 PMN cells in Blood by Immunofluorescence;"78001-5";Permintaan & Hasil;Quantitative;Qn;/10*5{PMN};IF;Darah
Cytomegalovirus pp65 Ag/100000 PMN cells in Blood by Immunofluorescence;"78001-5";Permintaan & Hasil;Quantitative;Qn;/10*5{PMN};IF;Darah
Promyelocytes/100 leukocytes in Blood by Manual count;"783-1";Hasil;Quantitative;Qn;%;Manual count;Darah
Cytomegalovirus IgG Ab avidity [Presence] in Serum or Plasma by Immunoassay;"78445-4";Permintaan & Hasil;Ordinal;Ord;;IA;Serum
Platelet aggregation ADP induced in Platelet rich plasma --5 umol/L;"78522-0";Permintaan & Hasil;Quantitative;Qn;%;COAG ;PRP
Cytomegalovirus IgG Ab [Units/volume] in Serum or Plasma;"7852-7";Permintaan & Hasil;Quantitative;Qn;[arb'U]/mL;;Serum
MCH [Entitic mass] by Automated count;"785-6";Hasil;Quantitative;Qn;pg;Automated count;Darah
MCHC [Mass/volume] by Automated count;"786-4";Hasil;Quantitative;Qn;g/dL;Automated count;Darah
MCV [Entitic volume] by Automated count;"787-2";Hasil;Quantitative;Qn;fL;Automated count;Darah
Erythrocyte distribution width [Ratio] by Automated count;"788-0";Hasil;Quantitative;Qn;%;Automated count;Darah
Entamoeba histolytica Ab [Units/volume] in Serum;"7880-8";Permintaan & Hasil;Quantitative;Qn;[arb'U]/mL;;Serum
Epstein Barr virus capsid IgG Ab [Units/volume] in Serum;"7885-7";Permintaan & Hasil;Quantitative;Qn;[arb'U]/mL;;Serum
Epstein Barr virus capsid IgM Ab [Units/volume] in Serum;"7886-5";Permintaan & Hasil;Quantitative;Qn;[arb'U]/mL;;Serum
Erythrocytes [#/volume] in Blood by Automated count;"789-8";Permintaan & Hasil;Quantitative;Qn;"10*6/uL";Automated count;Darah
Helicobacter pylori IgG Ab [Units/volume] in Serum;"7902-0";Permintaan & Hasil;Quantitative;Qn;[arb'U]/mL;;Serum
Helicobacter pylori IgG Ab [Units/volume] in Serum;"7902-0";Permintaan & Hasil;Quantitative;Qn;[arb'U]/mL;;Serum
Helicobacter pylori IgG Ab [Units/volume] in Serum;"7902-0";Permintaan & Hasil;Quantitative;Qn;[arb'U]/mL;;Serum
Helicobacter pylori IgM Ab [Units/volume] in Serum;"7903-8";Permintaan & Hasil;Quantitative;Qn;[arb'U]/mL;;Serum
Helicobacter pylori IgM Ab [Units/volume] in Serum;"7903-8";Permintaan & Hasil;Quantitative;Qn;[arb'U]/mL;;Serum
Erythrocytes [#/volume] in Blood by Manual count;"790-6";Hasil;Quantitative;Qn;"10*9/uL";Manual count;Darah
HIV 1+2 Ab [Presence] in Serum;"7918-6";Permintaan & Hasil;Ordinal;Ord;;;Serum
Platelet aggregation ADP induced in Platelet rich plasma --10 umol/L;"79188-9";Permintaan & Hasil;Quantitative;Qn;%;COAG ;PRP
Fetal Chromosome X and Y aneuploidy risk [interpretation] in Plasma cell-free DNA Qualitative by Sequencing;"79211-9";Hasil;Ordinal;Ord;;Sequencing;Darah
Fetal Chromosome X and Y aneuploidy risk [interpretation] in Plasma cell-free DNA Qualitative by Sequencing;"79211-9";Hasil;Ordinal;Ord;;Sequencing;Darah
Fetal Chromosome X and Y aneuploidy risk [interpretation] in Plasma cell-free DNA Qualitative by Sequencing;"79211-9";Hasil;Ordinal;Ord;;Sequencing;Darah
Measles virus IgG Ab [Units/volume] in Serum;"7962-4";Permintaan & Hasil;Quantitative;Qn;[arb'U]/mL;;Serum
Measles virus IgM Ab [Units/volume] in Serum;"7963-2";Permintaan & Hasil;Quantitative;Qn;[arb'U]/mL;;Serum
Mumps virus IgG Ab [Units/volume] in Serum;"7966-5";Permintaan & Hasil;Quantitative;Qn;{Index_val};;Serum
Mumps virus IgM Ab [Units/volume] in Serum;"7967-3";Permintaan & Hasil;Quantitative;Qn;[arb'U]/mL;;Serum
Mycoplasma pneumoniae IgG Ab [Units/volume] in Serum;"7970-7";Permintaan & Hasil;Quantitative;Qn;[arb'U]/mL;;Serum
Erythrocytes [#/volume] in Urine by Automated count;"798-9";Hasil;Quantitative;Qn;/uL;Automated count;Urine
Erythrocytes [#/volume] in Urine by Manual count;"799-7";Hasil;Quantitative;Qn;/uL;Manual count;Urine
Rubella virus IgG Ab [Units/volume] in Serum;"8014-3";Permintaan & Hasil;Quantitative;Qn;[IU]/mL;;Serum
Cefixime [Susceptibility] by Minimum inhibitory concentration (MIC);"80-2";Hasil;OrdQn;OrdQn;;MIC;Isolat
Helicobacter pylori Ag [Presence] in Stool by Rapid immunoassay;"80373-4";Permintaan & Hasil;Ordinal;Ord;;IA.rapid;Feses
HIV 1+2 Ab [Presence] in Serum, Plasma or Blood by Rapid immunoassay;"80387-4";Permintaan & Hasil;Ordinal;Ord;;IA.rapid;Serum
HIV 1+2 Ab [Presence] in Serum, Plasma or Blood by Rapid immunoassay;"80387-4";Permintaan & Hasil;Ordinal;Ord;;IA.rapid;Serum
Toxoplasma gondii IgG Ab [Units/volume] in Serum;"8039-0";Permintaan & Hasil;Quantitative;Qn;[arb'U]/mL;;Serum
Toxoplasma gondii IgM Ab [Units/volume] in Serum;"8040-8";Permintaan & Hasil;Quantitative;Qn;[arb'U]/mL;;Serum
Treponema pallidum Ab [Presence] in Serum by Hemagglutination;"8041-6";Permintaan & Hasil;Ordinal;Ord;;HA;Serum
Leukocytes [#/volume] in Blood by Manual count;"804-5";Hasil;Quantitative;Qn;"10*3/uL";Manual count;Darah
Varicella zoster virus IgG Ab [Units/volume] in Serum;"8047-3";Permintaan & Hasil;Quantitative;Qn;[arb'U]/mL;;Serum
Varicella zoster virus IgM Ab [Units/volume] in Serum;"8048-1";Permintaan & Hasil;Quantitative;Qn;[arb'U]/mL;;Serum
Maximum Urine flow by Uroflowmetry;"80519-2";Hasil;Quantitative;Qn;mL/s;Uroflowmetry;Urine
Flow time by Uroflowmetry;"80520-0";Hasil;Quantitative;Qn;s;Uroflowmetry;Urine
Mean urine flow by Uroflowmetry;"80522-6";Hasil;Quantitative;Qn;mL/s;Uroflowmetry;Urine
Urine output by Uroflowmetry;"80523-4";Hasil;Quantitative;Qn;mL;Uroflowmetry;Urine
Voiding time by Uroflowmetry;"80524-2";Permintaan & Hasil;Quantitative;Qn;s;Uroflowmetry;Urine
Uroflowmetry panel;"80525-9";Permintaan;;-;;Uroflowmetry;Urine
Time to max urine flow by Uroflowmetry;"80526-7";Hasil;Quantitative;Qn;s;Uroflowmetry;Urine
Activated clotting time (ACT) of Blood induced by Diatomaceous earth;"80658-8";Permintaan & Hasil;Quantitative;Qn;s;Coag;Darah 
Color of Peritoneal dialysis fluid;"80661-2";Hasil;Nominal;Nom;;;Cairan peritoneal dialisis
Histone Ab [Presence] in Serum;"8071-3";Permintaan & Hasil;Ordinal;Ord;;;Serum
Lymphocyte T-cell and B-cell and Natural killer subsets panel - Blood;"80721-4";Permintaan;;Qn;;;Darah
Jo-1 extractable nuclear Ab [Presence] in Serum;"8076-2";Permintaan & Hasil;Ordinal;Ord;;;Serum
Mitochondria Ab [Units/volume] in Serum;"8077-0";Permintaan & Hasil;Quantitative;Qn;[IU]/mL;;Serum
Leukocytes [#/volume] in Pleural fluid by Automated count;"807-8";Hasil;Quantitative;Qn;"10*3/uL";Automated count;Cairan pleura
Mycoplasma pneumoniae IgM Ab [Units/volume] in Serum;"8078-8";Permintaan & Hasil;Quantitative;Qn;[arb'U]/mL;;Serum
Leukocytes [#/volume] in Pleural fluid by Manual count;"808-6";Hasil;Quantitative;Qn;"10*3/uL";Manual count;Cairan pleura
PCNA extractable nuclear Ab [Presence] in Serum;"8088-7";Permintaan & Hasil;Ordinal;Ord;;;Serum
SCL-70 extractable nuclear Ab [Presence] in Serum;"8092-9";Permintaan & Hasil;Ordinal;Ord;;;Serum
Sjogrens syndrome-A extractable nuclear Ab [Presence] in Serum;"8093-7";Permintaan & Hasil;Ordinal;Ord;;;Serum
Leukocytes [#/volume] in Peritoneal fluid by Automated count;"809-4";Hasil;Quantitative;Qn;"10*3/uL";Automated count;Cairan peritoneal
Sjogrens syndrome-B extractable nuclear Ab [Presence] in Serum;"8094-5";Permintaan & Hasil;Ordinal;Ord;;;Serum
Smooth muscle Ab [Titer] in Serum;"8095-2";Permintaan & Hasil;Quantitative;Qn;{titer};;Serum
Thyroglobulin Ab [Units/volume] in Serum or Plasma;"8098-6";Permintaan & Hasil;Quantitative;Qn;[IU]/mL;;Serum
Thyroperoxidase Ab [Units/volume] in Serum or Plasma;"8099-4";Permintaan & Hasil;Quantitative;Qn;[IU]/mL;;Serum
Cefixime [Susceptibility] by Disk diffusion (KB);"81-0";Hasil;OrdQn;OrdQn;;Agar diffusion;Isolat
CD3+CD8+ (T8 suppressor) cells/100 cells in Blood;"8101-8";Hasil;Quantitative;Qn;%;;Darah
CD3+CD8+ (T8 suppressor) cells/100 cells in Blood;"8101-8";Hasil;Quantitative;Qn;%;;Darah
CD3+CD8+ (T8 suppressor) cells/100 cells in Blood;"8101-8";Hasil;Quantitative;Qn;%;;Darah
CD3+CD8+ (T8 suppressor) cells/100 cells in Blood;"8101-8";Hasil;Quantitative;Qn;%;;Darah
Leukocytes [#/volume] in Peritoneal fluid by Manual count;"810-2";Hasil;Quantitative;Qn;/uL;Manual count;Cairan peritoneal
Spermatozoa Aggregated [Presence] in Semen;"81138-0";Hasil;Ordinal;Ord;;;Sperma
CD16 cells/100 cells in Blood;"8115-8";Hasil;Quantitative;Qn;%;;Darah
CD19 cells [#/volume] in Blood;"8116-6";Permintaan & Hasil;Quantitative;Qn;/uL;;Darah
CD19 cells/100 cells in Blood;"8117-4";Permintaan & Hasil;Quantitative;Qn;%;;Darah
CD3 cells [#/volume] in Blood;"8122-4";Permintaan & Hasil;Quantitative;Qn;/uL;;Darah
CD3 cells [#/volume] in Blood;"8122-4";Permintaan & Hasil;Quantitative;Qn;/uL;;Darah
Protein electrophoresis panel - 24 hour Urine;"81231-3";Permintaan;;-;;Electrophoresis;Urine 24 jam
CD3+CD4+ (T4 helper) cells/100 cells in Blood;"8123-2";Hasil;Quantitative;Qn;%;;Darah
CD3+CD4+ (T4 helper) cells/100 cells in Blood;"8123-2";Hasil;Quantitative;Qn;%;;Darah
CD3+CD4+ (T4 helper) cells/100 cells in Blood;"8123-2";Hasil;Quantitative;Qn;%;;Darah
CD3+CD4+ (T4 helper) cells/100 cells in Blood;"8123-2";Hasil;Quantitative;Qn;%;;Darah
CD3 cells/100 cells in Blood;"8124-0";Hasil;Quantitative;Qn;%;;Darah
CD3 cells/100 cells in Blood;"8124-0";Hasil;Quantitative;Qn;%;;Darah
Leukocytes [#/volume] in Synovial fluid by Automated count;"813-6";Hasil;Quantitative;Qn;"10*3/uL";Automated count;Cairan sendi
Leukocytes [#/volume] in Synovial fluid by Manual count;"814-4";Hasil;Quantitative;Qn;/uL;Manual count;Cairan sendi
Cannabinoids [Presence] in Serum or Plasma by Confirmatory method;"8171-1";Permintaan & Hasil;Ordinal ;Ord;;Confirm;Serum/Plasma 
Cocaine [Presence] in Serum or Plasma by Confirmatory method;"8190-1";Permintaan & Hasil;Ordinal ;Ord;;Confirm;Serum/Plasma 
Opiates [Presence] in Serum or Plasma by Confirmatory method;"8218-0";Permintaan & Hasil;Ordinal ;Ord;;Confirm;Serum/Plasma 
Phencyclidine [Presence] in Serum or Plasma by Confirmatory method;"8235-4";Permintaan & Hasil;Ordinal ;Ord;;Confirm;Serum/Plasma 
Titanium [Mass/volume] in Serum or Plasma;"8244-6";Permintaan & Hasil;Quantitative;Qn;ug/L;;Serum/Plasma
Zinc [Mass/volume] in Blood;"8245-3";Permintaan & Hasil;Quantitative;Qn;ug/mL;;Darah
Erythrocyte sedimentation rate by Photometric method;"82477-1";Permintaan & Hasil;Quantitative;Qn;mm/h;Photometric;Darah
Erythrocyte sedimentation rate by Photometric method;"82477-1";Permintaan & Hasil;Quantitative;Qn;mm/h;Photometric;Darah
Reticulocytes.low light scatter/Reticulocytes.total in Blood by Automated count;"82591-9";Hasil;Quantitative;Qn;%;Automated count;Darah
Reticulocytes.mid light scatter/Reticulocytes.total in Blood by Automated count;"82592-7";Hasil;Quantitative;Qn;%;Automated count;Darah
Cefepime [Susceptibility] by Disk diffusion (KB);"8272-7";Hasil;OrdQn;OrdQn;;Agar diffusion;Isolat
Calprotectin [Mass/volume] in Stool;"82874-9";Permintaan & Hasil;Quantitative;Qn;mg/L;;Feses
"25-Hydroxyvitamin D3+25-Hydroxyvitamin D2 [Mass/volume] in Serum or Plasma by Immunoassay";"83070-3";Permintaan & Hasil;Quantitative;Qn;ng/mL;IA;Serum
"25-Hydroxyvitamin D3+25-Hydroxyvitamin D2 [Mass/volume] in Serum or Plasma by Immunoassay";"83070-3";Permintaan & Hasil;Quantitative;Qn;ng/mL;IA;Serum
"25-Hydroxyvitamin D3+25-Hydroxyvitamin D2 [Mass/volume] in Serum or Plasma by Immunoassay";"83070-3";Permintaan & Hasil;Quantitative;Qn;ng/mL;IA;Serum
Beta-2-Microglobulin [Mass/volume] in Serum or Plasma by Immunoassay;"83078-6";Permintaan & Hasil;Quantitative;Qn;mg/L;IA;Serum
Cancer Ag 125 [Units/volume] in Serum or Plasma by Immunoassay;"83082-8";Permintaan & Hasil;Quantitative;Qn;[arb'U]/mL;IA;Serum
Cancer Ag 125 [Units/volume] in Serum or Plasma by Immunoassay;"83082-8";Permintaan & Hasil;Quantitative;Qn;[arb'U]/mL;IA;Serum
Cancer Ag 125 [Units/volume] in Serum or Plasma by Immunoassay;"83082-8";Permintaan & Hasil;Quantitative;Qn;[arb'U]/mL;IA;Serum
Cancer Ag 125 [Units/volume] in Serum or Plasma by Immunoassay;"83082-8";Permintaan & Hasil;Quantitative;Qn;[arb'U]/mL;IA;Serum
Cancer Ag 15-3 [Units/volume] in Serum or Plasma by Immunoassay;"83083-6";Permintaan & Hasil;Quantitative;Qn;[arb'U]/mL;IA;Serum
Cancer Ag 15-3 [Units/volume] in Serum or Plasma by Immunoassay;"83083-6";Permintaan & Hasil;Quantitative;Qn;[arb'U]/mL;IA;Serum
Cancer Ag 15-3 [Units/volume] in Serum or Plasma by Immunoassay;"83083-6";Permintaan & Hasil;Quantitative;Qn;[arb'U]/mL;IA;Serum
Cancer Ag 19-9 [Units/volume] in Serum or Plasma by Immunoassay;"83084-4";Permintaan & Hasil;Quantitative;Qn;[arb'U]/mL;IA;Serum
Cancer Ag 19-9 [Units/volume] in Serum or Plasma by Immunoassay;"83084-4";Permintaan & Hasil;Quantitative;Qn;[arb'U]/mL;IA;Serum
Cancer Ag 19-9 [Units/volume] in Serum or Plasma by Immunoassay;"83084-4";Permintaan & Hasil;Quantitative;Qn;[arb'U]/mL;IA;Serum
Carcinoembryonic Ag [Mass/volume] in Serum or Plasma by Immunoassay;"83085-1";Permintaan & Hasil;Quantitative;Qn;ng/mL;IA;Serum
Carcinoembryonic Ag [Mass/volume] in Serum or Plasma by Immunoassay;"83085-1";Permintaan & Hasil;Quantitative;Qn;ng/mL;IA;Serum
Carcinoembryonic Ag [Mass/volume] in Serum or Plasma by Immunoassay;"83085-1";Permintaan & Hasil;Quantitative;Qn;ng/mL;IA;Serum
Carcinoembryonic Ag [Mass/volume] in Serum or Plasma by Immunoassay;"83085-1";Permintaan & Hasil;Quantitative;Qn;ng/mL;IA;Serum
Clostridioides difficile glutamate dehydrogenase [Presence] in Stool by Immunoassay;"83087-7";Permintaan & Hasil;Ordinal;Ord;;IA;Feses
Cortisol [Mass/volume] in Serum or Plasma by Immunoassay;"83088-5";Permintaan & Hasil;Quantitative;Qn;ng/mL;IA;Serum
Cortisol [Mass/volume] in Serum or Plasma by Immunoassay;"83088-5";Permintaan & Hasil;Quantitative;Qn;ng/mL;IA;Serum
Cortisol [Mass/volume] in Serum or Plasma by Immunoassay;"83088-5";Permintaan & Hasil;Quantitative;Qn;ng/mL;IA;Serum
Digoxin [Mass/volume] in Serum or Plasma by Immunoassay;"83093-5";Permintaan & Hasil;Quantitative;Qn;ng/mL;IA;Serum
Estradiol (E2) [Mass/volume] in Serum or Plasma by Immunoassay;"83096-8";Permintaan & Hasil;Quantitative;Qn;pg/mL;IA;Serum
Estradiol (E2) [Mass/volume] in Serum or Plasma by Immunoassay;"83096-8";Permintaan & Hasil;Quantitative;Qn;pg/mL;IA;Serum
Follitropin [Units/volume] in Serum or Plasma by Immunoassay;"83098-4";Permintaan & Hasil;Quantitative;Qn;[IU]/mL;IA;Serum
Follitropin [Units/volume] in Serum or Plasma by Immunoassay;"83098-4";Permintaan & Hasil;Quantitative;Qn;[IU]/mL;IA;Serum
Follitropin [Units/volume] in Serum or Plasma by Immunoassay;"83098-4";Permintaan & Hasil;Quantitative;Qn;[IU]/mL;IA;Serum
IgE [Units/volume] in Serum or Plasma by Immunoassay;"83102-4";Permintaan & Hasil;Quantitative;Qn;"[IU]/mL;k[IU]/L";IA;Serum
IgE [Units/volume] in Serum or Plasma by Immunoassay;"83102-4";Permintaan & Hasil;Quantitative;Qn;"[IU]/mL;k[IU]/L";IA;Serum
IgE [Units/volume] in Serum or Plasma by Immunoassay;"83102-4";Permintaan & Hasil;Quantitative;Qn;"[IU]/mL;k[IU]/L";IA;Serum
Lutropin [Units/volume] in Serum or Plasma by Immunoassay;"83103-2";Permintaan & Hasil;Quantitative;Qn;[IU]/mL;IA;Serum
Lutropin [Units/volume] in Serum or Plasma by Immunoassay;"83103-2";Permintaan & Hasil;Quantitative;Qn;[IU]/mL;IA;Serum
Lutropin [Units/volume] in Serum or Plasma by Immunoassay;"83103-2";Permintaan & Hasil;Quantitative;Qn;[IU]/mL;IA;Serum
Lutropin [Units/volume] in Serum or Plasma by Immunoassay;"83103-2";Permintaan & Hasil;Quantitative;Qn;[IU]/mL;IA;Serum
Mullerian inhibiting substance [Mass/volume] in Serum or Plasma by Immunoassay;"83104-0";Permintaan & Hasil;Quantitative;Qn;ng/mL;IA;Serum
Mullerian inhibiting substance [Mass/volume] in Serum or Plasma by Immunoassay;"83104-0";Permintaan & Hasil;Quantitative;Qn;ng/mL;IA;Serum
Mullerian inhibiting substance [Mass/volume] in Serum or Plasma by Immunoassay;"83104-0";Permintaan & Hasil;Quantitative;Qn;ng/mL;IA;Serum
Natriuretic peptide.B prohormone N-Terminal [Mass/volume] in Serum or Plasma by Immunoassay;"83107-3";Permintaan & Hasil;Quantitative;Qn;pg/mL;IA;Serum/Plasma
Natriuretic peptide.B prohormone N-Terminal [Mass/volume] in Serum or Plasma by Immunoassay;"83107-3";Permintaan & Hasil;Quantitative;Qn;pg/mL;IA;Serum/Plasma
Progesterone [Mass/volume] in Serum or Plasma by Immunoassay;"83109-9";Permintaan & Hasil;Quantitative;Qn;ng/mL;IA;Serum
Progesterone [Mass/volume] in Serum or Plasma by Immunoassay;"83109-9";Permintaan & Hasil;Quantitative;Qn;ng/mL;IA;Serum
Prostate specific Ag [Mass/volume] in Serum or Plasma by Immunoassay;"83112-3";Permintaan & Hasil;Quantitative;Qn;ng/mL;IA;Serum
Prostate specific Ag [Mass/volume] in Serum or Plasma by Immunoassay;"83112-3";Permintaan & Hasil;Quantitative;Qn;ng/mL;IA;Serum
Prostate specific Ag [Mass/volume] in Serum or Plasma by Immunoassay;"83112-3";Permintaan & Hasil;Quantitative;Qn;ng/mL;IA;Serum
Prostate specific Ag [Mass/volume] in Serum or Plasma by Immunoassay;"83112-3";Permintaan & Hasil;Quantitative;Qn;ng/mL;IA;Serum
Prostate Specific Ag Free [Mass/volume] in Serum or Plasma by Immunoassay;"83113-1";Permintaan & Hasil;Quantitative;Qn;ng/mL;IA;Serum
Testosterone [Mass/volume] in Serum or Plasma by Immunoassay;"83116-4";Permintaan & Hasil;Quantitative;Qn;ng/mL;IA;Serum
Testosterone [Mass/volume] in Serum or Plasma by Immunoassay;"83116-4";Permintaan & Hasil;Quantitative;Qn;ng/mL;IA;Serum
Thyroxine (T4) [Mass/volume] in Serum or Plasma by Immunoassay;"83119-8";Permintaan & Hasil;Quantitative;Qn;ug/L;IA;Serum
Thyroxine (T4) [Mass/volume] in Serum or Plasma by Immunoassay;"83119-8";Permintaan & Hasil;Quantitative;Qn;ug/L;IA;Serum
Thyroxine (T4) [Mass/volume] in Serum or Plasma by Immunoassay;"83119-8";Permintaan & Hasil;Quantitative;Qn;ug/L;IA;Serum
Thyroxine (T4) [Mass/volume] in Serum or Plasma by Immunoassay;"83119-8";Permintaan & Hasil;Quantitative;Qn;ug/L;IA;Serum
Thyroxine (T4) free [Mass/volume] in Serum or Plasma by Immunoassay;"83122-2";Permintaan & Hasil;Quantitative;Qn;pg/mL;IA;Serum
Thyroxine (T4) free [Mass/volume] in Serum or Plasma by Immunoassay;"83122-2";Permintaan & Hasil;Quantitative;Qn;pg/mL;IA;Serum
Thyroxine (T4) free [Mass/volume] in Serum or Plasma by Immunoassay;"83122-2";Permintaan & Hasil;Quantitative;Qn;pg/mL;IA;Serum
Thyroxine (T4) free [Mass/volume] in Serum or Plasma by Immunoassay;"83122-2";Permintaan & Hasil;Quantitative;Qn;pg/mL;IA;Serum
Triiodothyronine (T3) [Mass/volume] in Serum or Plasma by Immunoassay;"83124-8";Permintaan & Hasil;Quantitative;Qn;ng/mL;IA;Serum
Triiodothyronine (T3) [Mass/volume] in Serum or Plasma by Immunoassay;"83124-8";Permintaan & Hasil;Quantitative;Qn;ng/mL;IA;Serum
Triiodothyronine (T3) [Mass/volume] in Serum or Plasma by Immunoassay;"83124-8";Permintaan & Hasil;Quantitative;Qn;ng/mL;IA;Serum
Triiodothyronine (T3) [Mass/volume] in Serum or Plasma by Immunoassay;"83124-8";Permintaan & Hasil;Quantitative;Qn;ng/mL;IA;Serum
Triiodothyronine (T3) Free [Mass/volume] in Serum or Plasma by Immunoassay;"83127-1";Permintaan & Hasil;Quantitative;Qn;pg/mL;IA;Serum
Triiodothyronine (T3) Free [Mass/volume] in Serum or Plasma by Immunoassay;"83127-1";Permintaan & Hasil;Quantitative;Qn;pg/mL;IA;Serum
Triiodothyronine (T3) Free [Mass/volume] in Serum or Plasma by Immunoassay;"83127-1";Permintaan & Hasil;Quantitative;Qn;pg/mL;IA;Serum
Cefaclor [Susceptibility] by Minimum inhibitory concentration (MIC);"84-4";Hasil;OrdQn;OrdQn;;MIC;Isolat
NMDAR subunit 1 Ab [Presence] in Serum by Immunofluorescence;"84928-1";Permintaan & Hasil;Ordinal;Ord;;IF;Serum
Cefaclor [Susceptibility] by Disk diffusion (KB);"85-1";Hasil;OrdQn;OrdQn;;Agar diffusion;Isolat
Herpes virus 8 DNA [Presence] in Tissue by NAA with probe detection;"86546-9";Permintaan & Hasil;Ordinal;Ord;;Probe.amp.tar;Swab/ Sekret
HIV 2 RNA [#/volume] (viral load) in Plasma by NAA with probe detection;"86548-5";Permintaan & Hasil;Quantitative;Qn;{copies}/mL;Probe.amp.tar;Darah
Dengue virus IgG and IgM panel - Serum Qualitative;"87546-8";Permintaan;Ordinal;Ord;;;Serum
Virus identified in Lower respiratory specimen by Culture;"87709-2";Permintaan & Hasil;Nominal;Nom;;Culture;Spesimen pernapasan bawah
Casts [Presence] in Urine;"87827-2";Permintaan & Hasil;Ordinal;Ord;;;Urine
Crystals [Presence] in Urine;"87828-0";Permintaan & Hasil;Ordinal;Ord;;;Urine
Bacteria [Presence] in Urine;"87829-8";Permintaan & Hasil;Ordinal;Ord;;;Urine
Epithelial cells [Presence] in Urine;"87830-6";Permintaan & Hasil;Ordinal;Ord;;;Urine
Epithelial cells [#/volume] in Urine by Automated;"87926-2";Permintaan & Hasil;Quantitative;Qn;/uL;Automated;Urine
Bacteria identified in Amniotic fluid by Aerobe culture;"87929-6";Permintaan & Hasil;Nominal;Nom;;Aerobic culture;Cairan amnion
Bacteria identified in Amniotic fluid by Anaerobe culture;"87933-8";Permintaan & Hasil;Nominal;Nom;;Anaerobic culture;Cairan amnion
Bacteria identified in Bile fluid by Anaerobe culture;"87934-6";Permintaan & Hasil;Nominal;Nom;;Anaerobic culture;Cairan empedu
Bacteria identified in Blood product unit by Anaerobe culture;"87935-3";Permintaan & Hasil;Nominal;Nom;;Anaerobic culture;Produk darah
Bacteria identified in Burn by Anaerobe culture;"87936-1";Permintaan & Hasil;Nominal;Nom;;Anaerobic culture;Luka bakar
Bacteria identified in Cerebral spinal fluid by Anaerobe culture;"87937-9";Permintaan & Hasil;Nominal;Nom;;Anaerobic culture;Cairan otak
Bacteria identified in Pericardial fluid by Anaerobe culture;"87939-5";Permintaan & Hasil;Nominal;Nom;;Anaerobic culture;Cairan perikardial
Bacteria identified in Peritoneal fluid by Anaerobe culture;"87940-3";Permintaan & Hasil;Nominal;Nom;;Anaerobic culture;Cairan peritoneal
Bacteria identified in Placenta by Anaerobe culture;"87941-1";Permintaan & Hasil;Nominal;Nom;;Anaerobic culture;Plasenta
Bacteria identified in Pleural fluid by Anaerobe culture;"87942-9";Permintaan & Hasil;Nominal;Nom;;Anaerobic culture;Cairan pleura
Bacteria identified in Synovial fluid by Anaerobe culture;"87944-5";Permintaan & Hasil;Nominal;Nom;;Anaerobic culture;Cairan sinovial
Chlamydia trachomatis DNA [Presence] in Tissue by NAA with probe detection;"87949-4";Permintaan & Hasil;Ordinal;Ord;;Probe.amp.tar;Swab jaringan
Microscopic observation [Identifier] in Blood by Gram stain;"87969-2";Permintaan & Hasil;Nominal;Nom;;Gram stain;Serum/Plasma
Fungus identified in Pericardial fluid by Culture;"87977-5";Permintaan & Hasil;Nominal;Nom;;Culture;Cairan perikardial
Fungus identified in Peritoneal dialysis fluid by Culture;"87978-3";Permintaan & Hasil;Nominal;Nom;;Culture;Cairan peritoneal dialisis
Fungus identified in Pleural fluid by Culture;"87979-1";Permintaan & Hasil;Nominal;Nom;;Culture;Cairan pleura
Fungus identified in Sinus by Culture;"87980-9";Permintaan & Hasil;Nominal;Nom;;Culture;Sinus
